	metabolite id	metabolite name	MW [Da]	carbons	yield [gCDW/mmol carbon]	ATP yield [mol ATP/mol]	ATP yield [mol ATP/mol carbon]	ATP yield [mol ATP/Da]	exchange
EX_12ppd_S_e	12ppd_S_e	(S)-Propane-1,2-diol	76.09442	3	0.005622889324517488	17.000000000000433	5.666666666666812	0.0744688857168083	{'EX_meoh_e': 1.1245778649034976e-08, 'EX_co2_e': 0.7691894685720462}
EX_14glucan_e	14glucan_e	1,4-alpha-D-glucan	990.85888	36	0.01682104102176199	166.66666666682175	4.629629629633937	0.00467234005071836	{'EX_meoh_e': 3.364208204352398e-08, 'EX_co2_e': 0.30952341521688026}
EX_23camp_e	23camp_e	2',3'-Cyclic AMP	328.198001	10	0.013066183736576755	36.33333333334197	3.633333333334197	0.011070552904842944	{'EX_meoh_e': 2.6132367473153507e-08, 'EX_co2_e': 0.46365424643430414}
EX_23ccmp_e	23ccmp_e	2',3'-Cyclic CMP	304.173301	9	0.009977474454570165	23.666666666664014	2.629629629629335	0.008645169122287084	{'EX_meoh_e': 1.9954948909140327e-08, 'EX_ura_e': 0.10781061244892953, 'EX_co2_e': 0.1591983274878947}
EX_23cgmp_e	23cgmp_e	2',3'-Cyclic GMP	344.197401	10	0.012395576428225627	34.000000000008185	3.4000000000008184	0.00987805250743546	{'EX_meoh_e': 2.4791152856451254e-08, 'EX_co2_e': 0.4911815940833926}
EX_23cump_e	23cump_e	2',3'-Cyclic UMP	305.158061	9	0.009846733552829492	23.333333333328028	2.5925925925920033	0.008495900727957514	{'EX_meoh_e': 1.9693467105658982e-08, 'EX_ura_e': 0.10785386088548421, 'EX_co2_e': 0.1643920367554207}
EX_23dappa_e	23dappa_e	2,3-diaminopropionate	105.11576000000001	3	0.012407991504265983	11.000000000000568	3.666666666666856	0.03488217814975467	{'EX_meoh_e': 2.4815983008531964e-08, 'EX_co2_e': 0.4906719752482794}
EX_2ddglcn_e	2ddglcn_e	2-Dehydro-3-deoxy-D-gluconate	177.13206	6	0.014583396111519417	24.66666666666966	4.11111111111161	0.023209299948928556	{'EX_meoh_e': 2.9166792223038832e-08, 'EX_co2_e': 0.4013751272070901}
EX_3amp_e	3amp_e	3'-AMP	345.205341	10	0.013066183424463557	36.333333333340654	3.633333333334065	0.010525136496465927	{'EX_meoh_e': 2.613236684892711e-08, 'EX_co2_e': 0.46365425920948206}
EX_3cmp_e	3cmp_e	3'-cmp	321.18064100000004	9	0.009977474191055491	23.666666666661285	2.6296296296290316	0.008187385209275522	{'EX_meoh_e': 1.995494838211098e-08, 'EX_ura_e': 0.10781061253612734, 'EX_co2_e': 0.1591983379560702}
EX_3gmp_e	3gmp_e	3'-GMP	361.204741	10	0.012395576428189583	34.00000000000546	3.4000000000005457	0.00941294400119888	{'EX_meoh_e': 2.4791152856379164e-08, 'EX_co2_e': 0.49118159408151846}
EX_3hcinnm_e	3hcinnm_e	3-hydroxycinnamic acid	163.15008	9	0.012899775549114123	32.99999999999591	3.6666666666662118	0.022474194720996838	{'EX_meoh_e': 2.5799551098228246e-08, 'EX_co2_e': 0.47048503394652325}
EX_3hpppn_e	3hpppn_e	3-(3-hydroxy-phenyl)propionate	165.16595999999998	9	0.013344595395267334	34.3333333333274	3.814814814814156	0.023096858546483526	{'EX_meoh_e': 2.6689190790534664e-08, 'EX_co2_e': 0.4522258971834302}
EX_3ump_e	3ump_e	3'-UMP	322.165401	9	0.009846733292862083	23.333333333470428	2.5925925926078253	0.008047396103245194	{'EX_meoh_e': 1.9693466585724166e-08, 'EX_ura_e': 0.10785386097143146, 'EX_co2_e': 0.16439204706942515}
EX_4abut_e	4abut_e	4-Aminobutanoate	103.11976	4	0.016420932411255515	19.33333333333213	4.833333333333033	0.04687106848709726	{'EX_meoh_e': 3.2841864822511026e-08, 'EX_co2_e': 0.32599690122617797}
EX_5dglcn_e	5dglcn_e	5-Dehydro-D-gluconate	193.13146	6	0.013825513168572268	22.99999999986573	3.8333333333109545	0.019848311265864994	{'EX_meoh_e': 2.7651026337144536e-08, 'EX_co2_e': 0.43248499880836444}
EX_LalaDglu_e	LalaDglu_e	L-alanine-D-glutamate	217.19921999999997	8	0.014804674556237494	33.66666666666788	4.208333333333485	0.01937545325132146	{'EX_meoh_e': 2.9609349112474987e-08, 'EX_co2_e': 0.39229200423191213}
EX_LalaDgluMdap_e	LalaDgluMdap_e	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate	389.381	15	0.008035439932294863	33.66666666667964	2.244444444445309	0.005764134470981659	{'EX_meoh_e': 1.6070879864589727e-08, 'EX_15dap_e': 0.06368592825922181, 'EX_co2_e': 0.3517285186821218}
EX_LalaDgluMdapDala_e	LalaDgluMdapDala_e	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine	460.45889999999997	18	0.009382565723282204	47.33333333332215	2.6296296296290085	0.00571088891892199	{'EX_lys_L_e': 0.05207510218306974, 'EX_co2_e': 0.30243926523025666}
EX_LalaLglu_e	LalaLglu_e	L-alanine-L-glutamate	217.19921999999997	8	0.014804674556237494	33.66666666666788	4.208333333333485	0.01937545325132146	{'EX_meoh_e': 2.9609349112474987e-08, 'EX_co2_e': 0.39229200423191213}
EX_ac_e	ac_e	Acetate	59.04402	2	0.013016902470537911	8.33333333333331	4.166666666666655	0.07056881741227401	{'EX_meoh_e': 2.603380494107582e-08, 'EX_co2_e': 0.4657165389926578}
EX_acac_e	acac_e	Acetoacetate	101.0807	4	0.01398659906479698	16.999999999998785	4.249999999999696	0.04204561305966121	{'EX_meoh_e': 2.797319812959396e-08, 'EX_co2_e': 0.4258726827741188}
EX_acald_e	acald_e	Acetaldehyde	44.05256	2	0.018327267739706582	11.000000000000151	5.5000000000000755	0.1248508599727252	{'EX_meoh_e': 3.6654535479413164e-08, 'EX_co2_e': 0.24769523949382666}
EX_acgam_e	acgam_e	N-Acetyl-D-glucosamine	221.2078	8	0.01593191955413982	36.33333333333394	4.5416666666667425	0.020531222979780744	{'EX_meoh_e': 3.186383910827964e-08, 'EX_co2_e': 0.346020416420721}
EX_acgam1p_e	acgam1p_e	N-Acetyl-D-glucosamine 1-phosphate	299.171821	8	0.015931919554139827	36.333333333333314	4.541666666666664	0.01518079694633628	{'EX_meoh_e': 3.1863839108279654e-08, 'EX_co2_e': 0.34602041642072073}
EX_acmana_e	acmana_e	N-Acetyl-D-mannosamine	221.2078	8	0.01593191955413982	36.33333333333394	4.5416666666667425	0.020531222979780744	{'EX_meoh_e': 3.186383910827964e-08, 'EX_co2_e': 0.346020416420721}
EX_acmum_e	acmum_e	N-Acetylmuramate	292.26252000000005	11	0.01575493355654247	50.00000000000848	4.545454545455316	0.015552642690740212	{'EX_meoh_e': 3.1509867113084936e-08, 'EX_co2_e': 0.3532854059668794}
EX_acnam_e	acnam_e	N-Acetylneuraminate	308.26192000000003	11	0.015088291156590775	47.333333333333016	4.303030303030274	0.013959007012706188	{'EX_meoh_e': 3.017658231318155e-08, 'EX_co2_e': 0.38065000052396375}
EX_ade_e	ade_e	Adenine	135.1267	5	0.007969522677768737	13.000000000007464	2.6000000000014927	0.019241201035779698	{'EX_meoh_e': 1.5939045355537473e-08, 'EX_co2_e': 0.6728639569100054}
EX_adn_e	adn_e	Adenosine	267.24132	10	0.01306618373654847	36.33333333333787	3.6333333333337867	0.01359570194210157	{'EX_meoh_e': 2.6132367473096938e-08, 'EX_co2_e': 0.46365424643553477}
EX_agm_e	agm_e	Agmatine	132.20734000000002	5	0.015627718550327827	23.666666666666618	4.733333333333324	0.03580234904758936	{'EX_meoh_e': 3.125543710065565e-08, 'EX_urea_e': 0.2, 'EX_co2_e': 0.15850737664678266}
EX_akg_e	akg_e	2-Oxoglutarate	144.08226000000002	5	0.012610642650471538	17.666666666667123	3.5333333333334243	0.024523028257145772	{'EX_meoh_e': 2.5221285300943073e-08, 'EX_co2_e': 0.48235347286041125}
EX_ala_D_e	ala_D_e	D-Alanine	89.09317999999999	3	0.01492495314531972	13.333333333334735	4.444444444444912	0.049885349747813605	{'EX_meoh_e': 2.984990629063944e-08, 'EX_co2_e': 0.38735476225911647}
EX_ala_L_e	ala_L_e	L-Alanine	89.09317999999999	3	0.014924953146041722	13.333333333334735	4.444444444444912	0.049885349747813605	{'EX_meoh_e': 2.984990629208344e-08, 'EX_co2_e': 0.38735476226486976}
EX_alaala_e	alaala_e	D-Alanyl-D-alanine	160.17108	6	0.01527204507847868	27.33333333333735	4.555555555556225	0.02844181081601139	{'EX_meoh_e': 3.054409015695736e-08, 'EX_co2_e': 0.3731071985859896}
EX_all_D_e	all_D_e	D-Allose	180.15588	6	0.015899340143856817	27.33333333333121	4.555555555555202	0.025286743655301185	{'EX_meoh_e': 3.179868028771363e-08, 'EX_co2_e': 0.3473577486296683}
EX_alltn_e	alltn_e	Allantoin	158.11544	4	0.004692365422466116	5.666666666667576	1.416666666666894	0.008959698475157731	{'EX_meoh_e': 9.384730844932232e-09, 'EX_co2_e': 0.8073859728855578}
EX_amp_e	amp_e	AMP	345.205341	10	0.01306618373657642	36.33333333334377	3.633333333334377	0.010525136496466829	{'EX_meoh_e': 2.613236747315284e-08, 'EX_co2_e': 0.4636542464349738}
EX_anhgm_e	anhgm_e	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid	477.43976	19	0.015832779207102805	86.00000000000347	4.526315789473867	0.009480391389007626	{'EX_meoh_e': 3.166555841420561e-08, 'EX_co2_e': 0.3500899676553004}
EX_arab_L_e	arab_L_e	L-Arabinose	150.12990000000002	5	0.016383233104812288	22.66666666666673	4.533333333333346	0.030196072423503546	{'EX_meoh_e': 3.2766466209624574e-08, 'EX_co2_e': 0.32749472358882237}
EX_arg_L_e	arg_L_e	L-Arginine	175.2089	6	0.013790927157415785	24.66666666666776	4.111111111111293	0.023464054115466124	{'EX_meoh_e': 2.758185431483157e-08, 'EX_co2_e': 0.4339046987882369}
EX_ascb_L_e	ascb_L_e	L-Ascorbate	176.12412	6	0.013802344168804059	22.999999999890562	3.8333333333150934	0.021764953791196192	{'EX_meoh_e': 2.7604688337608117e-08, 'EX_co2_e': 0.4334360488539716}
EX_asn_L_e	asn_L_e	L-Asparagine	132.11792	4	0.011856048347148415	13.666666666666515	3.4166666666666288	0.025860736126231996	{'EX_meoh_e': 2.3712096694296828e-08, 'EX_co2_e': 0.5133283510255997}
EX_asp_L_e	asp_L_e	L-Aspartate	132.09474	4	0.011843739644685318	13.666666666666675	3.4166666666666687	0.025865274171149196	{'EX_meoh_e': 2.3687479289370634e-08, 'EX_co2_e': 0.5138336033813381}
EX_but_e	but_e	Butyrate (n-C4:0)	87.09718	4	0.014412026520877912	17.33333333333303	4.3333333333332575	0.04975285460830371	{'EX_meoh_e': 2.8824053041755823e-08, 'EX_co2_e': 0.40840957233019287}
EX_butso3_e	butso3_e	butanesulfonate	137.17746	4	0.00703903718455649	10.250000000000004	2.562500000000001	0.01868018258976366	{'EX_meoh_e': 1.407807436911298e-08, 'EX_co2_e': 0.7110588847256663}
EX_cgly_e	cgly_e	Cys-Gly	178.2095	5	0.011806272336368426	18.333333333333222	3.6666666666666448	0.020575034813894014	{'EX_meoh_e': 2.361254467273685e-08, 'EX_co2_e': 0.5154072898895858}
EX_chtbs_e	chtbs_e	N,N'-diacetylchitobiose	424.40032	16	0.01594879526161507	72.66666666666644	4.541666666666653	0.010701374274804158	{'EX_meoh_e': 3.189759052323014e-08, 'EX_co2_e': 0.3453276958662516}
EX_cit_e	cit_e	Citrate	189.09969999999998	6	0.011843739325706003	20.000000000000227	3.3333333333333712	0.017627385624267893	{'EX_meoh_e': 2.3687478651412004e-08, 'EX_co2_e': 0.5138336164659765}
EX_cmp_e	cmp_e	CMP	321.18064100000004	9	0.009977474454570104	23.66666666665993	2.629629629628881	0.008187385209275054	{'EX_meoh_e': 1.9954948909140208e-08, 'EX_ura_e': 0.10781061244892953, 'EX_co2_e': 0.1591983274878939}
EX_cys_D_e	cys_D_e	D-Cysteine	121.15818	3	0.011560340658884876	11.00000000000125	3.6666666666670835	0.030263467697080656	{'EX_meoh_e': 2.312068131776975e-08, 'EX_co2_e': 0.5254666743427143}
EX_cys_L_e	cys_L_e	L-Cysteine	121.15818	3	0.011600228994156456	11.000000000002274	3.6666666666674246	0.03026346769708347	{'EX_meoh_e': 2.320045798831291e-08, 'EX_co2_e': 0.5238293225595904}
EX_cytd_e	cytd_e	Cytidine	243.21662000000003	9	0.009977474454570149	23.666666666657875	2.6296296296286528	0.010811882961076642	{'EX_meoh_e': 1.9954948909140297e-08, 'EX_ura_e': 0.10781061244881585, 'EX_co2_e': 0.15919832748789445}
EX_dad_2_e	dad_2_e	Deoxyadenosine	251.24192	10	0.013581104441956857	37.99999999999849	3.7999999999998484	0.01512486451305518	{'EX_meoh_e': 2.7162208883913713e-08, 'EX_co2_e': 0.4425175825602429}
EX_damp_e	damp_e	dAMP	329.205941	10	0.013581104442081757	37.999999999998494	3.7999999999998497	0.011542926559760506	{'EX_meoh_e': 2.7162208884163512e-08, 'EX_co2_e': 0.4425175825623523}
EX_dca_e	dca_e	Decanoate (n-C10:0)	171.25665999999998	10	0.01500838623895999	44.33333333333189	4.43333333333319	0.02588707109745799	{'EX_meoh_e': 3.0016772477919974e-08, 'EX_co2_e': 0.3839299684260816}
EX_dcmp_e	dcmp_e	dCMP	305.18124100000006	9	0.010456355402646646	25.33333333333121	2.814814814814579	0.00922342017350463	{'EX_meoh_e': 2.091271080529329e-08, 'EX_ura_e': 0.10765220102564399, 'EX_co2_e': 0.14017468317600468}
EX_dcyt_e	dcyt_e	Deoxycytidine	227.21722	9	0.01045635513784494	25.333333333337198	2.8148148148152443	0.012388210782682952	{'EX_meoh_e': 2.0912710275689882e-08, 'EX_ura_e': 0.10765220111329654, 'EX_co2_e': 0.14017469367850457}
EX_ddca_e	ddca_e	Dodecanoate (n-C12:0)	199.30981999999997	12	0.015074648429837776	53.33333333333272	4.444444444444393	0.02229917444330838	{'EX_meoh_e': 3.014929685967555e-08, 'EX_co2_e': 0.3812100124365812}
EX_dgmp_e	dgmp_e	dGMP	345.205341	10	0.012868342870490324	35.666666666665456	3.5666666666665456	0.010332014725886138	{'EX_meoh_e': 2.5736685740980647e-08, 'EX_co2_e': 0.4717752946992986}
EX_dgsn_e	dgsn_e	Deoxyguanosine	267.24132	10	0.012868342870024637	35.66666666666538	3.566666666666538	0.013346239521143432	{'EX_meoh_e': 2.5736685740049274e-08, 'EX_co2_e': 0.471775294691109}
EX_dha_e	dha_e	Dihydroxyacetone	90.07794	3	0.016590615802285734	13.999999999928557	4.666666666642852	0.05180698700084452	{'EX_meoh_e': 3.318123160457147e-08, 'EX_co2_e': 0.31898199857007536}
EX_dimp_e	dimp_e	dIMP	330.190701	10	0.01345528486602416	37.66666666667277	3.766666666667277	0.011407549198871221	{'EX_meoh_e': 2.6910569732048317e-08, 'EX_co2_e': 0.4476822730843001}
EX_din_e	din_e	Deoxyinosine	252.22668000000002	10	0.013455284866312568	37.66666666658921	3.766666666658921	0.014933656767233825	{'EX_meoh_e': 2.6910569732625134e-08, 'EX_co2_e': 0.44768227309021924}
EX_dtmp_e	dtmp_e	dTMP	320.19258099999996	10	0.008967760314283993	24.33333333333887	2.433333333333887	0.007599593112789478	{'EX_meoh_e': 1.7935520628567985e-08, 'EX_thym_e': 0.09976534958363918, 'EX_co2_e': 0.13306116514582006}
EX_dump_e	dump_e	dUMP	306.166001	9	0.010343921473612516	24.999999999990376	2.7777777777767083	0.009072783289796793	{'EX_meoh_e': 2.0687842947225032e-08, 'EX_ura_e': 0.10768939360718832, 'EX_co2_e': 0.14464114416847368}
EX_duri_e	duri_e	Deoxyuridine	228.20198	9	0.010343921473321228	24.99999999999943	2.7777777777777146	0.012172452569332285	{'EX_meoh_e': 2.0687842946642456e-08, 'EX_ura_e': 0.1076893936074157, 'EX_co2_e': 0.1446411441646765}
EX_etha_e	etha_e	Ethanolamine	62.09102	2	0.01784630860882016	10.666666666666666	5.333333333333333	0.08589540537960776	{'EX_meoh_e': 3.569261721764032e-08, 'EX_co2_e': 0.2674918206267788}
EX_ethso3_e	ethso3_e	ethanesulfonate	109.12429999999999	2	0.0003629441016102734	0.7999999999999955	0.39999999999999775	0.0036655447045250028	{'EX_meoh_e': 7.258882032205468e-10, 'EX_co2_e': 0.9851072341050369}
